experiment_id,git_commit,data_sha256,fold_id,model,train_rows,val_rows,val_positive_rows,val_delay_rate,pr_auc,roc_auc,brier_score,precision,recall,f1,balanced_accuracy,selected_threshold,runtime_seconds
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,2,Logistic Regression,4942,738,195,0.26422764227642276,0.4913469475315288,0.7502479104689049,0.17238380524853827,0.6461538461538462,0.2153846153846154,0.3230769230769231,0.586513670491571,0.6659483364080432,0.31352663040161133
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,2,Random Forest,4942,738,195,0.26422764227642276,0.5147822438250582,0.7953251168720781,0.1720722156921124,0.0,0.0,0.0,0.5,0.6500223166646183,0.8102028369903564
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,2,XGBoost,4942,738,195,0.26422764227642276,0.45617508242700744,0.7541955895547054,0.19221433997154236,0.5,0.035897435897435895,0.06698564593301436,0.5115030457571894,0.7754603028297424,0.4221498966217041
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,2,LightGBM,4942,738,195,0.26422764227642276,0.4278378964016172,0.7705387920857534,0.21077881237297516,0.45454545454545453,0.4358974358974359,0.44502617801047123,0.6240260660150163,0.7751884902150857,0.5502769947052002
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,2,CatBoost,4942,738,195,0.26422764227642276,0.5216343187958411,0.7987816971242385,0.19765653258240606,0.5164835164835165,0.48205128205128206,0.4986737400530504,0.6599943334749965,0.7458121293575726,12.94733476638794
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,3,Logistic Regression,5614,606,121,0.19966996699669967,0.30837471497417424,0.720047712362614,0.22493413216883873,0.2978723404255319,0.5785123966942148,0.39325842696629215,0.6191531055636023,0.6116377431057893,0.32881641387939453
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,3,Random Forest,5614,606,121,0.19966996699669967,0.46138568647407585,0.8217261651188549,0.16906716175734285,0.0,0.0,0.0,0.5,0.6471032242983187,0.8229155540466309
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,3,XGBoost,5614,606,121,0.19966996699669967,0.3359650647579102,0.7281076936184715,0.16417977213859558,0.3076923076923077,0.03305785123966942,0.05970149253731343,0.5072505751043708,0.7443614602088928,0.42668938636779785
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,3,LightGBM,5614,606,121,0.19966996699669967,0.3745168569097945,0.7414160347618642,0.16443570524682805,0.4666666666666667,0.11570247933884298,0.18543046357615894,0.5413563943085967,0.7470719819895039,0.5256118774414062
EXP_01_CLASSIFICATION_BASELINES,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,3,CatBoost,5614,606,121,0.19966996699669967,0.30955276383889385,0.737190082644628,0.16753219324137905,0.2926829268292683,0.09917355371900827,0.14814814814814814,0.5196898696430092,0.6877381006781488,13.506531000137329
