experiment_id,git_commit,data_sha256,evidence_label,fold_id,strategy,k_fraction,k_shipments,delayed_captured,total_delayed,recall_at_k,high_severity_captured,high_severity_recall_at_k,delay_days_captured,total_delay_days,delay_days_capture_ratio
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_3_Uncertainty_Aware,0.2,148,57,195,0.2923076923076923,22,0.2894736842105263,1733.0,5446.0,0.31821520381931695
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_1_Risk_Only,0.01,7,2,121,0.01652892561983471,0,0.0,15.0,2743.0,0.005468465184104995
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_1_Risk_Only,0.05,31,5,121,0.04132231404958678,2,0.03508771929824561,81.0,2743.0,0.02952971199416697
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_1_Risk_Only,0.1,61,12,121,0.09917355371900827,2,0.03508771929824561,140.0,2743.0,0.05103900838497995
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_1_Risk_Only,0.2,122,28,121,0.23140495867768596,8,0.14035087719298245,468.0,2743.0,0.17061611374407584
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_2_Risk_x_Severity,0.01,7,0,121,0.0,0,0.0,0.0,2743.0,0.0
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_2_Risk_x_Severity,0.05,31,2,121,0.01652892561983471,0,0.0,15.0,2743.0,0.005468465184104995
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_2_Risk_x_Severity,0.1,61,2,121,0.01652892561983471,0,0.0,15.0,2743.0,0.005468465184104995
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_2_Risk_x_Severity,0.2,122,8,121,0.06611570247933884,1,0.017543859649122806,97.0,2743.0,0.035362741523878964
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_3_Uncertainty_Aware,0.01,7,2,121,0.01652892561983471,0,0.0,15.0,2743.0,0.005468465184104995
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_3_Uncertainty_Aware,0.05,31,4,121,0.03305785123966942,1,0.017543859649122806,45.0,2743.0,0.016405395552314985
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_3_Uncertainty_Aware,0.1,61,9,121,0.0743801652892562,1,0.017543859649122806,94.0,2743.0,0.03426904848705797
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,3,Strategy_3_Uncertainty_Aware,0.2,122,21,121,0.17355371900826447,6,0.10526315789473684,349.0,2743.0,0.12723295661684286
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_1_Risk_Only,0.01,8,7,103,0.06796116504854369,2,0.04081632653061224,86.0,1854.0,0.04638619201725998
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_1_Risk_Only,0.05,36,18,103,0.17475728155339806,8,0.16326530612244897,307.0,1854.0,0.16558791801510248
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_1_Risk_Only,0.1,72,33,103,0.32038834951456313,18,0.3673469387755102,596.0,1854.0,0.3214670981661273
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_1_Risk_Only,0.2,144,57,103,0.5533980582524272,31,0.6326530612244898,1065.0,1854.0,0.5744336569579288
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_2_Risk_x_Severity,0.01,8,6,103,0.05825242718446602,6,0.12244897959183673,252.0,1854.0,0.13592233009708737
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_2_Risk_x_Severity,0.05,36,18,103,0.17475728155339806,11,0.22448979591836735,485.0,1854.0,0.261596548004315
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_2_Risk_x_Severity,0.1,72,32,103,0.3106796116504854,23,0.46938775510204084,777.0,1854.0,0.4190938511326861
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_2_Risk_x_Severity,0.2,144,43,103,0.4174757281553398,29,0.5918367346938775,887.0,1854.0,0.4784250269687163
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_3_Uncertainty_Aware,0.01,8,8,103,0.07766990291262135,7,0.14285714285714285,284.0,1854.0,0.15318230852211434
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_3_Uncertainty_Aware,0.05,36,27,103,0.2621359223300971,22,0.4489795918367347,722.0,1854.0,0.389428263214671
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_3_Uncertainty_Aware,0.1,72,45,103,0.4368932038834951,28,0.5714285714285714,926.0,1854.0,0.4994606256742179
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,4,Strategy_3_Uncertainty_Aware,0.2,144,65,103,0.6310679611650486,38,0.7755102040816326,1239.0,1854.0,0.6682847896440129
